votedecision,legislator_name,term,period,meetingno,temp_meeting_no,billn,billcontent,billresult,url,urln,date
贊成,呂孫綾　吳秉叡,9,3,3,0,1,四、其他特定議案照柯委員建銘等所提「中央政府前瞻基礎建設計畫第1期特別預算案（106年度至107年度）」及「國民體育法修正草案」通過。【在場委員81人，贊成者56人，反對者25人，多數通過；並採記名表決方式，表決結果名單附後】 ,Passed,https://lci.ly.gov.tw/LyLCEW/html/agendarec1/04/09/03/03/LCEWC03_090303.htm,173,106/08/18
贊成,邱議瑩　蕭美琴,9,3,3,0,1,四、其他特定議案照柯委員建銘等所提「中央政府前瞻基礎建設計畫第1期特別預算案（106年度至107年度）」及「國民體育法修正草案」通過。【在場委員81人，贊成者56人，反對者25人，多數通過；並採記名表決方式，表決結果名單附後】 ,Passed,https://lci.ly.gov.tw/LyLCEW/html/agendarec1/04/09/03/03/LCEWC03_090303.htm,173,106/08/18
贊成,陳亭妃　陳其邁,9,3,3,0,1,四、其他特定議案照柯委員建銘等所提「中央政府前瞻基礎建設計畫第1期特別預算案（106年度至107年度）」及「國民體育法修正草案」通過。【在場委員81人，贊成者56人，反對者25人，多數通過；並採記名表決方式，表決結果名單附後】 ,Passed,https://lci.ly.gov.tw/LyLCEW/html/agendarec1/04/09/03/03/LCEWC03_090303.htm,173,106/08/18
贊成,蔡易餘　吳玉琴,9,3,3,0,1,四、其他特定議案照柯委員建銘等所提「中央政府前瞻基礎建設計畫第1期特別預算案（106年度至107年度）」及「國民體育法修正草案」通過。【在場委員81人，贊成者56人，反對者25人，多數通過；並採記名表決方式，表決結果名單附後】 ,Passed,https://lci.ly.gov.tw/LyLCEW/html/agendarec1/04/09/03/03/LCEWC03_090303.htm,173,106/08/18
贊成,高志鵬　趙正宇,9,3,3,0,1,四、其他特定議案照柯委員建銘等所提「中央政府前瞻基礎建設計畫第1期特別預算案（106年度至107年度）」及「國民體育法修正草案」通過。【在場委員81人，贊成者56人，反對者25人，多數通過；並採記名表決方式，表決結果名單附後】 ,Passed,https://lci.ly.gov.tw/LyLCEW/html/agendarec1/04/09/03/03/LCEWC03_090303.htm,173,106/08/18
贊成,陳歐珀　洪宗熠,9,3,3,0,1,四、其他特定議案照柯委員建銘等所提「中央政府前瞻基礎建設計畫第1期特別預算案（106年度至107年度）」及「國民體育法修正草案」通過。【在場委員81人，贊成者56人，反對者25人，多數通過；並採記名表決方式，表決結果名單附後】 ,Passed,https://lci.ly.gov.tw/LyLCEW/html/agendarec1/04/09/03/03/LCEWC03_090303.htm,173,106/08/18
贊成,李昆澤　王榮璋,9,3,3,0,1,四、其他特定議案照柯委員建銘等所提「中央政府前瞻基礎建設計畫第1期特別預算案（106年度至107年度）」及「國民體育法修正草案」通過。【在場委員81人，贊成者56人，反對者25人，多數通過；並採記名表決方式，表決結果名單附後】 ,Passed,https://lci.ly.gov.tw/LyLCEW/html/agendarec1/04/09/03/03/LCEWC03_090303.htm,173,106/08/18
贊成,洪宗熠　江永昌,9,3,3,1,16,【在場委員91人，贊成者61人，反對者30人，多數通過；並採記名表決方式，表決結果名單附後(16)】； ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/09/03/01/03/LCEWC03_09030103.htm,178,"106/06/27, 106/06/28, 106/06/29, 106/06/30"
