name,replace
顧崇廉,　　顧崇廉　　
何金松,　　何金松　　
朱鳳芝,　　朱鳳芝　　
許舒博,　　許舒博　　
曾蔡美佐,　　曾蔡美佐　　
陳宏昌,　　陳宏昌　　
劉松藩,　　劉松藩　　
蘇盈貴,　　蘇盈貴　　
呂學樟,　　呂學樟　　
高金素梅,　　高金素梅　　
吳成典,　　吳成典　　
李和順,　　李和順　　
邱創良,　　邱創良　　
鄭余鎮,　　鄭余鎮　　
呂新民,　　呂新民　　
瓦歷斯．貝林,　　瓦歷斯．貝林　　
林炳坤,　　林炳坤　　
曾燦燈,　　曾燦燈　　
尹伶瑛,　　尹伶瑛　　
